side,made_new_ext,mins,pull_pts,pull_pct,dist_edge_pts,dist_edge_pct
long,False,,13.400000000000091,122.93577981651356,-12.400000000000091,-113.76146788990813
short,True,8.0,2.0,33.33333333333333,4.900000000000091,81.66666666666819
short,True,0.0,1.5,23.076923076923077,2.900000000000091,44.61538461538602
long,False,,17.40000000000009,124.28571428571493,-9.0,-64.28571428571429
long,True,66.0,3.5,50.0,-3.0,-42.857142857142854
short,False,,15.5,134.7826086956522,-15.0,-130.43478260869566
long,True,4.0,1.5,25.0,2.0,33.33333333333333
short,True,3.0,2.0,33.89830508474524,-0.5,-8.47457627118631
short,True,285.0,13.5,207.6923076923077,-11.5,-176.9230769230769
short,True,200.0,7.400000000000091,123.33333333333485,-3.5,-58.333333333333336
short,True,145.0,9.899999999999864,89.99999999999876,-6.5,-59.09090909090909
long,True,11.0,0.5,5.88235294117647,0.0,0.0
short,True,22.0,1.5,16.666666666666664,2.400000000000091,26.666666666667677
short,False,,32.399999999999864,294.5454545454533,-24.399999999999864,-221.8181818181806
short,True,1.0,0.5,8.333333333333332,0.5,8.333333333333332
long,True,0.0,2.0,16.129032258064694,-1.5,-12.096774193548521
long,True,0.0,0.5,6.666666666666667,5.5,73.33333333333333
long,True,9.0,1.0,11.76470588235294,1.0,11.76470588235294
short,False,,1.5,20.0,0.0,0.0
short,True,0.0,0.0,0.0,7.5,88.23529411764706
long,True,4.0,1.0,16.666666666666664,-0.5,-8.333333333333332
long,True,13.0,1.5,23.076923076923077,0.5,7.6923076923076925
long,True,285.0,10.0,142.85714285714286,-8.5,-121.42857142857142
long,True,0.0,1.0,14.285714285714285,0.5,7.142857142857142
short,True,15.0,6.0,100.0,-5.0,-83.33333333333334
short,False,,25.0,416.6666666666667,-24.0,-400.0
long,True,9.0,1.0,20.0,0.0,0.0
long,True,93.0,7.0,87.5,-4.0,-50.0
long,False,,24.40000000000009,305.00000000000114,-23.90000000000009,-298.75000000000114
short,True,7.0,1.5,16.666666666666664,0.5,5.555555555555555
short,True,0.0,0.5,5.0,2.5,25.0
short,True,18.0,1.5,13.636363636363635,1.5,13.636363636363635
long,True,10.0,1.0,8.0,2.5,20.0
long,True,12.0,1.0,16.949152542373273,0.5,8.474576271186637
short,True,14.0,3.8999999999998636,60.93749999999917,-3.3999999999998636,-53.124999999999
long,True,2.0,0.0,0.0,4.0,38.83495145631085
long,True,3.0,1.0,11.23595505617966,-0.900000000000091,-10.112359550562717
short,True,0.0,0.0,0.0,0.5,7.812499999999889
long,True,13.0,2.0,28.57142857142857,1.900000000000091,27.14285714285844
long,True,0.0,-0.40000000000009095,-6.666666666668182,4.900000000000091,81.66666666666819
long,True,37.0,4.0,90.90909090908903,1.5,34.09090909090839
long,False,,19.300000000000182,194.94949494949495,-16.800000000000182,-169.69696969696994
short,True,57.0,4.0,62.500000000001336,-1.0,-15.625000000000334
long,True,0.0,-0.20000000000004547,-3.8461538461546874,3.7000000000000455,71.1538461538464
long,True,109.0,4.400000000000091,61.111111111111995,-4.2000000000000455,-58.33333333333359
short,False,,17.700000000000045,215.8536585365847,-15.700000000000045,-191.46341463414583
long,True,128.0,9.400000000000091,177.35849056604098,-8.900000000000091,-167.92452830188995
short,True,4.0,1.0,11.494252873563159,0.20000000000004547,2.2988505747131542
short,True,0.0,-0.2999999999999545,-4.838709677418586,3.3999999999998636,54.83870967741675
short,True,0.0,0.3000000000001819,2.857142857144589,5.899999999999864,56.19047619047489
long,False,,8.699999999999818,235.1351351351273,-7.899999999999864,-213.5135135135072
long,True,33.0,3.400000000000091,62.96296296296624,0.2999999999999545,5.555555555554854
long,True,12.0,1.5,34.883720930232926,-0.2999999999999545,-6.9767441860455275
long,True,1.0,0.5,9.090909090909092,0.0,0.0
short,True,15.0,2.199999999999818,33.84615384615105,0.5,7.6923076923076925
