side,failed,day_move_pct,fail_time,opp_accept,re_accept,first_after_fail,close_against,close_beyond_opp,close_back_beyond_orig
short,True,-0.8120281672270524,12:15:00,False,True,same,False,False,True
long,True,0.44185450819673733,10:45:00,False,True,same,False,False,True
long,True,0.6653019447287578,10:30:00,False,True,same,False,False,True
short,False,-0.4740834386852133,,,,,,,
short,True,-0.34272658035033876,10:15:00,False,True,same,False,False,True
short,True,-0.28575057150114214,14:15:00,False,True,same,False,False,True
long,True,1.45962139078335,10:45:00,False,True,same,False,False,True
long,True,0.7230885311871216,11:45:00,False,True,same,False,False,True
long,True,-0.7645450024863276,13:45:00,True,False,opposite,True,True,False
short,False,-1.3976809777499155,,,,,,,
short,False,-1.2906917599186163,,,,,,,
short,True,-0.18601667735728133,10:45:00,False,True,same,False,False,True
short,True,-0.4117344312918214,10:30:00,True,True,opposite,False,False,True
short,False,-0.7347254447022333,,,,,,,
short,True,-0.8087132328963631,11:15:00,False,True,same,False,False,True
long,True,0.9213557091148461,11:30:00,True,True,opposite,False,False,True
short,True,0.520663846404168,10:30:00,True,False,opposite,True,True,False
short,True,0.3236455434008745,13:15:00,True,False,opposite,True,True,False
short,True,-0.671617694543114,14:00:00,False,True,same,False,False,True
long,True,2.441731409544934,11:00:00,False,True,same,False,False,True
short,True,-0.8860840186141417,10:15:00,False,True,same,False,False,True
long,True,-0.38209259377188776,10:30:00,True,False,opposite,True,False,False
short,True,1.170706877902905,11:15:00,True,False,opposite,True,True,False
long,True,0.037814331631680353,10:30:00,True,False,opposite,False,False,False
long,True,-0.3730871379790113,11:45:00,True,False,opposite,True,True,False
short,False,-1.9624031500063421,,,,,,,
short,True,0.3548845012259605,10:15:00,True,True,same,True,True,False
long,False,1.1217229664765016,,,,,,,
short,True,0.2224057952595837,10:15:00,True,False,opposite,True,False,False
long,False,1.615365047061812,,,,,,,
long,True,0.4958780140085439,14:15:00,False,True,same,False,False,True
short,True,0.22168852761867974,11:15:00,False,True,same,True,False,False
short,True,-0.17766341971450217,11:30:00,False,True,same,False,False,False
long,True,0.12292562999385304,13:00:00,False,True,same,False,False,False
long,True,0.06138358602909566,14:45:00,False,True,same,False,False,False
short,True,1.1954389406571897,13:00:00,True,False,opposite,True,True,False
short,True,-0.1509844184080178,13:30:00,False,True,same,False,False,True
short,True,-0.14495379597754265,11:00:00,False,True,same,False,False,False
long,True,-0.5077676358580585,13:00:00,True,False,opposite,True,True,False
short,True,0.3030303030302939,11:30:00,True,True,same,True,True,False
long,True,1.0237263639648386,10:45:00,False,True,same,False,False,True
long,True,-0.20775212203952842,10:15:00,True,False,opposite,True,False,False
long,True,0.4166418665555671,11:00:00,False,True,same,False,False,True
long,False,0.5942476824340348,,,,,,,
long,True,0.23635074450485405,10:45:00,False,True,same,False,False,False
