date,side,orb_range,accept_close,p1_pull_pts,p1_pull_pct_range,p1_dist_level_pts,p1_dist_level_pct_range,p1_reentered,p1_closed_cont,already_beyond_pdh,touched_pdh,mins_to_pdh,pull_before_pdh_pts,pull_before_pdh_pct_range,dist_level_before_pdh_pts,dist_level_before_pdh_pct_range,eod_close_beyond_pdh,touched_pdh_daily,already_beyond_pdh_daily
2014-12-11,long,33.0,4273.2,-0.3000000000001819,-0.9090909090914603,0.6999999999998181,2.12121212121157,False,True,False,False,,,,,,False,True,False
2014-12-15,short,23.39999999999964,4213.5,6.399999999999636,27.350427350426216,-5.399999999999636,-23.076923076921876,True,True,False,True,9.0,6.399999999999636,27.350427350426216,-5.399999999999636,-23.076923076921876,True,True,False
2014-12-16,short,34.900000000000546,4111.5,31.100000000000364,89.1117478510025,-27.200000000000728,-77.9369627507172,True,False,True,True,0.0,9.100000000000364,26.07449856733588,-5.200000000000728,-14.899713467050562,True,False,False
2014-12-17,long,25.800000000000185,4115.8,2.5,9.689922480620085,-0.6999999999998181,-2.713178294572919,True,True,False,False,,,,,,False,True,False
2014-12-18,long,20.600000000000364,4243.6,9.800000000000182,47.57281553398063,0.5,2.4271844660193747,False,False,True,True,0.0,0.6000000000003638,2.9126213592250156,9.699999999999818,47.087378640774986,True,False,False
2014-12-19,long,16.800000000000182,4286.3,3.5,20.83333333333311,6.699999999999818,39.880952380950866,False,True,True,True,0.0,1.800000000000182,10.714285714286682,8.399999999999636,49.99999999999729,True,True,False
2014-12-22,long,19.0,4301.9,3.199999999999818,16.842105263156938,-2.800000000000182,-14.736842105264113,True,False,False,False,,,,,,False,True,False
2014-12-23,short,26.800000000000185,4286.9,5.0,18.656716417910317,-3.0,-11.194029850746192,True,False,False,True,22.0,5.0,18.656716417910317,-3.0,-11.194029850746192,True,True,False
2014-12-26,long,10.799999999999272,4308.0,0.8000000000001819,7.4074074074095915,-0.1999999999998181,-1.8518518518502922,True,False,True,True,0.0,-0.3999999999996362,-3.7037037037005844,1.0,9.259259259259883,True,True,False
2014-12-29,long,11.5,4322.0,2.100000000000364,18.260869565220556,0.0,0.0,False,True,False,False,,,,,,False,False,False
2014-12-30,short,14.600000000000364,4294.2,0.9000000000005457,6.16438356164742,-0.1000000000003638,-0.6849315068517898,True,False,True,True,0.0,0.4000000000005457,2.7397260274009296,0.3999999999996362,2.7397260273947004,True,True,False
2015-01-02,short,20.5,4250.2,0.1999999999998181,0.9756097560966737,4.900000000000546,23.902439024392905,False,True,True,True,0.0,0.1999999999998181,0.9756097560966737,4.900000000000546,23.902439024392905,True,True,False
2015-01-05,short,24.300000000000185,4176.0,15.100000000000364,62.13991769547428,-5.300000000000182,-21.81069958847795,True,False,True,True,0.0,0.6000000000003638,2.469135802470614,9.199999999999818,37.86008230452571,True,True,False
2015-01-06,short,18.89999999999964,4151.6,2.5999999999994543,13.75661375661113,0.4000000000005457,2.116402116405044,False,True,False,True,4.0,2.5999999999994543,13.75661375661113,0.4000000000005457,2.116402116405044,True,True,False
2015-01-07,long,27.200000000000728,4157.8,4.600000000000364,16.91176470588324,5.599999999999454,20.58823529411509,False,False,False,False,,,,,,False,True,False
2015-01-08,long,23.300000000000185,4218.4,1.3999999999996362,6.008583690985516,6.300000000000182,27.038626609442623,False,False,True,True,0.0,1.0999999999994543,4.721030042916075,6.600000000000364,28.326180257512068,True,True,False
2015-01-09,short,25.400000000000546,4217.5,0.0,0.0,8.199999999999818,32.28346456692772,False,True,False,True,43.0,0.0,0.0,8.199999999999818,32.28346456692772,False,True,False
2015-01-12,short,57.60000000000037,4162.5,13.399999999999636,23.263888888888108,-12.399999999999636,-21.527777777777008,True,False,True,True,0.0,4.5,7.81249999999995,-3.5,-6.07638888888885,True,True,False
2015-01-13,short,41.5,4192.5,0.0,0.0,12.300000000000182,29.638554216867906,False,True,False,True,23.0,0.0,0.0,12.300000000000182,29.638554216867906,False,True,False
2015-01-14,long,29.199999999999815,4149.9,7.0,23.972602739726177,-1.6000000000003638,-5.479452054795801,True,True,False,False,,,,,,False,False,False
2015-01-15,short,61.19999999999982,4091.3,7.399999999999636,12.091503267973298,5.5,8.98692810457519,False,False,True,True,0.0,0.29999999999972715,0.4901960784309282,12.599999999999909,20.58823529411756,True,True,False
2015-01-16,short,31.00000000000045,4074.3,25.5,82.25806451612783,-23.200000000000273,-74.83870967741915,True,False,True,True,0.0,5.799999999999727,18.70967741935369,-3.5,-11.290322580644997,False,False,False
2015-01-20,short,42.80000000000018,4120.7,1.5,3.504672897196247,2.699999999999818,6.3084112149528195,False,False,True,True,0.0,0.1999999999998181,0.4672897196257413,4.0,9.345794392523326,False,True,False
2015-01-21,long,44.0,4200.7,5.800000000000182,13.181818181818594,11.699999999999818,26.590909090908678,False,True,True,True,0.0,0.3000000000001819,0.6818181818185952,17.199999999999818,39.090909090908674,True,True,False
2015-01-22,long,54.20000000000073,4230.3,8.900000000000546,16.42066420664285,0.2999999999992724,0.5535055350540007,False,False,True,True,0.0,2.100000000000364,3.8745387453880733,7.099999999999454,13.09963099630878,True,False,False
